order_number,sale_date,sale_month,buyer_state,item_title,sold_for,shipping_and_handling,gross_revenue
21-14185-73355,2026-02-06,2026-02,CA,Lot of 6 Snap-on 3/8” Drive Sockets - Mixed Sizes (FS & FV Series),20.0,6.46,26.46
14-14195-55156,2026-02-06,2026-02,NV,Kobalt Dogbone Multi-Socket Ratcheting Wrench 8-in-1 Swivel Head Tool,16.0,7.25,23.25
07-14202-46780,2026-02-05,2026-02,WY,Curv-O-Mark Contour Marker #6 Pipe Layout Tool w/ Level Made in USA – Works,35.0,7.86,42.86
17-14187-07486,2026-02-05,2026-02,NC,Vintage Vaughn Single Bit Axe – USA – Hickory Handle,15.0,9.2,24.2
07-14197-11664,2026-02-04,2026-02,TN,Vintage Craftsman Locking Pliers Lot of 4 Vise-Grip USA Curved Long Jaw,24.0,8.97,32.97
08-14195-17609,2026-02-04,2026-02,WA,Leupold RX-II Rangefinder RX2 — Not Working — For Parts / Repair Only,20.0,8.46,28.46
25-14171-28467,2026-02-04,2026-02,TX,Vintage USA Craftsman SAE Double Open End Wrench Set Forged USA,25.0,8.1,33.1
27-14166-81062,2026-02-03,2026-02,IL,"Brand New Craftsman Tool Lot – Screwdrivers, Ratchet CMHT81722, Cutters CMHT8164",26.0,8.97,34.97
15-14181-10767,2026-02-03,2026-02,PA,Vintage Miller’s Falls No. 620A Push Drill Hand Tool 1926 Pat. USA Wooden Handle,20.0,9.88,29.880000000000003
20-14173-91199,2026-02-03,2026-02,NY,Snap-on SPP46 USA Stubby Flathead Screwdriver – Vintage Black Handle 4”,17.0,5.52,22.52
25-14161-90395,2026-02-02,2026-02,DE,Wenger Giant Swiss Army Knife 80+ Functions Pliers Compass Ruler SAK,249.99,9.26,259.25
04-14189-14800,2026-02-01,2026-02,NC,BUCK 380 2-Blade Folding Pocket Knife with Wood Handle - Made in China,15.0,5.77,20.77
22-14161-77854,2026-02-01,2026-02,GA,Vintage Craftsman Metal Toolbox USA Gray Hammertone w/ Tray Red Badge,25.0,12.41,37.41
20-14162-09415,2026-01-31,2026-01,NH,Craftsman 12 Pocket Wrench Tool Roll Organizer 965878 Auto Motorcycle Tool Bag,19.99,7.52,27.509999999999998
06-14181-31407,2026-01-31,2026-01,PA,Vintage Pennsylvania Motorcycle Vanity License Plate “OL LDY” Blue Yellow,40.0,5.77,45.769999999999996
15-14168-31378,2026-01-31,2026-01,TX,Craftsman USA Combination Wrench Set SAE 1/4–7/8 Forged Steel 8pc,15.0,8.53,23.53
01-14188-72440,2026-01-31,2026-01,NY,Vintage Locking Pliers Lot – Vise-Grip & Blackhawk – USA Made – 6 Pc,30.0,11.29,41.29
21-14153-83816,2026-01-30,2026-01,AR,Vintage Craftsman 20” Metal Toolbox Hammertone Gray,36.0,19.7,55.7
11-14167-00242,2026-01-29,2026-01,TX,Vintage USA Tool Lot Proto SK Craftsman Husky Challenger Kawasaki Sockets Wrench,49.99,8.65,58.64
18-14156-97254,2026-01-29,2026-01,CA,Craftsman USA Bench Chisel Set 4pc Project Lot + Buck Bros 1” Chisel READ,19.99,5.78,25.77
13-14157-99786,2026-01-28,2026-01,IA,Size 4Y Nike Air Jordan 1 Mid Black Hyper Royal 2020. 554724-077.,25.0,10.72,35.72
02-14172-14439,2026-01-28,2026-01,IA,Vintage Stanley Aladdin Half-Gallon Thermos – No. A-945DH – Made in USA,13.0,8.46,21.46
24-14150-02949,2026-01-26,2026-01,CA,Pair Vintage Realistic Plug N Talk 2 Station FM Wireless Intercom 43-207C,34.99,6.68,41.67
02-14164-48506,2026-01-26,2026-01,NV,Vintage Mac Tools Red 6-Drawer Side Cabinet Tool Box – 38 lb – No Key,350.0,21.08,371.08
08-14155-49373,2026-01-26,2026-01,MI,Vintage License Plate Lot Michigan Cycle Plates + Arizona Grand Canyon Plate,17.0,7.22,24.22
06-14150-25765,2026-01-24,2026-01,TX,Vintage Gräper USA CHOPPER-1 Mechanical Spring Loaded Log Splitting Axe Wood,80.0,22.18,102.18
23-14126-06055,2026-01-24,2026-01,NC,Wiss Tin Snip Scissors Mpc-3 M1 M3 Lot Of 4,11.0,10.96,21.96
22-14123-97922,2026-01-23,2026-01,MN,ÖTZI SPARK Portable Backpack Grill – Stainless Steel Folding Camp Firebox w/ Bag,47.0,8.53,55.53
26-14118-03351,2026-01-23,2026-01,VA,Amberina Ruby Red Ruffled Art Glass Pedestal Compote Bowl Vintage,14.0,12.07,26.07
14-14128-48023,2026-01-22,2026-01,NC,WESTOOL USA Ring Mandrel Lot of 2 Jewelers Sizing Mandrels Project Tools READ,25.0,8.83,33.83
02-14142-25006,2026-01-21,2026-01,TX,3/8” Drive Ratchet Lot 4pc Chrome Vanadium Fuller Japan Vintage Mixed Brands,17.8,6.68,24.48
18-14119-07212,2026-01-21,2026-01,CA,Craftsman Magnetic Socket Rail Organizer Lot of 4 USA Steel 40 Strong Magnets,50.0,7.52,57.519999999999996
16-14121-87841,2026-01-21,2026-01,NY,LEGO Marvel Minifigure Lot Iron Man Thor Captain America Black Widow Spider-Man,15.0,5.77,20.77
18-14119-07050,2026-01-21,2026-01,IN,T Texas Instruments TI-84 Plus C Silver Edition Graphing Calculator Black,12.0,7.22,19.22
10-14124-38937,2026-01-19,2026-01,CA,PROTO 1/2” Drive Impact Socket Lot 13-24mm Metric + WILLIAMS 1-1/16” U,51.0,6.29,57.29
26-14101-11495,2026-01-19,2026-01,PA,Klein Tools 627-20 Tap Driver Rethreading Screwdriver Thread Chaser USA Made,20.0,5.77,25.77
23-14105-45124,2026-01-19,2026-01,ND,Williams S-52 Superratchet Ratchet Wrench USA – Vintage JH Williams – Rare Tool,34.99,8.1,43.09
04-14131-93767,2026-01-19,2026-01,PA,Machinist Tap & Drill Lot General Gauge USA HSS Taps Die Bits Vermont American,45.0,9.65,54.65
23-14104-90743,2026-01-19,2026-01,CO,Jorgensen No. 12 C-Clamp 4” Heavy Duty Clamp USA Vintage Adjustable Screw Clamp,19.0,7.31,26.31
23-14104-88313,2026-01-19,2026-01,IN,Schrade SC508 USA Two-Blade Pocket Knife Brown Handle – Used,21.0,5.29,26.29
26-14100-50503,2026-01-19,2026-01,CO,L&R Ultrasonic Cleaner Model T-11 Vintage Jeweler Watchmaker Parts Cleaner –,90.0,7.52,97.52
24-14111-37590,2026-01-18,2026-01,AZ,Snap-on FS18A 9/16” Universal Swivel Socket 3/8” Drive USA 6-Point Chrome,22.99,4.88,27.869999999999997
25-14092-91913,2026-01-17,2026-01,VT,Vintage Homelite XL Mini Automatic Type 10112 AO FP Gas Chainsaw 16” Bar As Is,89.99,34.23,124.22
06-14116-07179,2026-01-16,2026-01,MO,Vintage Craftsman Amber Handle Flathead Screwdriver USA Square Shank,15.0,5.15,20.15
16-14093-10421,2026-01-14,2026-01,OR,Small Rail Track Jeweler’s Anvil Bench Forming Stake Blacksmith Metal Tool,49.99,8.08,58.07
26-14069-32461,2026-01-12,2026-01,OK,Craftsman Adjustable Woodworking Handscrew  Clamps Set Of 4 Vintage,39.99,21.62,61.61
20-14076-66630,2026-01-12,2026-01,CO,Vintage Tonka Turbo-Diesel Front End Loader – Pressed Steel Construction Toy –,50.0,7.67,57.67
03-14097-61271,2026-01-11,2026-01,KS,Craftsman Professional Handi-Cut 9-37201 Wire Duct Raceway Shears USA,29.99,7.92,37.91
04-14094-58016,2026-01-11,2026-01,CO,Craftsman 8pc Screwdriver Set Phillips Slotted Speed Zone Full Lifetime Warranty,21.99,7.36,29.349999999999998
02-14093-74467,2026-01-10,2026-01,UT,Vintage Mini Steel Anvil Stamped TAIWAN Blacksmith Jeweler Bench Anvil 5”,22.5,7.07,29.57
06-14087-82667,2026-01-10,2026-01,MI,"Vintage Snap-on Deep Socket Lot - Mixed Metric & SAE, Various Sizes, As-Is",29.99,6.37,36.36
24-14076-58187,2026-01-10,2026-01,WI,Sears Craftsman 3-Wing Molding Head Cutter Set w/ Sharpening Jig 9-3214 M3217,59.99,9.18,69.17
25-14060-42563,2026-01-10,2026-01,AZ,Craftsman 1/2 Drive Sockets Standard 12 Point Chrome In Case Thorson Ratchet,10.0,6.45,16.45
19-14067-43414,2026-01-09,2026-01,FL,Milwaukee Shockwave Red Helix Titanium Drill Bit Set 1/16-1/2” Impact Duty Case,14.99,6.37,21.36
11-14078-26978,2026-01-09,2026-01,HI,Craftsman 9-44641 1/2” Drive Beam Torque Wrench 0-140 Ft-Lb Made in USA,25.0,11.85,36.85
06-14085-09403,2026-01-09,2026-01,TN,Vintage Craftsman USA Flathead Screwdriver Red Amber Handle Blue Collar 8”,26.99,5.24,32.23
23-14051-52644,2026-01-07,2026-01,PA,Snap On 1/2 Inch Drive Ratchet S80a   Chrome Short Handel  Works,129.99,12.96,142.95000000000002
20-14054-88748,2026-01-07,2026-01,MO,Vintage Blacksmith Mini Anvil Stake w/ Cross-Peen Hammer – Display or Jeweler,30.0,9.5,39.5
07-14065-56751,2026-01-05,2026-01,MO,ERTL Vintage 1/22 Scale Diecast Ford 7500 Backhoe Loader Tractor Excavator,77.6,22.4,100.0
15-14049-70005,2026-01-04,2026-01,NY,Vintage Craftsman USA Pipe Clamp Head Set 6574-2 – 2 Complete Clamps Heavy Duty,20.0,7.45,27.45
22-14039-89210,2026-01-04,2026-01,TX,Vintage MAC Tools SP-8A Gasket Scraper USA Red Handle Automotive Mechanic Tool,9.99,5.15,15.14
23-14038-57099,2026-01-04,2026-01,TX,Rochester Quadrajet Carburetor 17056230 Chevy Truck 350 V8 GM Q-Jet 1977 Core,53.0,12.2,65.2
01-14067-91952,2026-01-04,2026-01,OK,Lot of 9 Smartphones Apple iPhone Samsung Galaxy Verizon AS-IS Parts Repair,39.99,8.85,48.84
27-14030-05877,2026-01-03,2026-01,CA,Melbourne Chronograph Stainless Steel Men’s Watch Date Quartz Silver,49.99,4.99,54.980000000000004
08-14055-57525,2026-01-03,2026-01,CA,Vintage Craftsman End Cutting Pliers Carpenter Nail Puller USA Made,15.0,6.6,21.6
14-14046-74491,2026-01-03,2026-01,ID,Timex Ironman Triathlon Digital Watch Indiglo 100M WR 8-Lap Stopwatch AS-IS,13.0,5.09,18.09
17-14042-42135,2026-01-03,2026-01,GA,Schrade USA Folding Knife Lot CH7 & SP7 Lockback Vintage Made in USA,18.0,5.24,23.240000000000002
02-14063-83979,2026-01-03,2026-01,NY,Bose OE2 On-Ear Headphones Tested Working w/ Case & Manual – READ Wear on Pads,15.0,8.59,23.59
07-14054-40931,2026-01-02,2026-01,ID,Timex Ironman Triathlon Digital Watch Indiglo 100M WR 8-Lap Stopwatch AS-IS,16.99,5.09,22.08
13-14045-67009,2026-01-02,2026-01,TX,Railroad Track Anvil 18 lb Bench Blacksmith Jewelers Forging Tool Hardy Hole,79.99,9.83,89.82
