,,,,,,,,,,,,,,
Disclaimers
• This is an analytics report and currently we support downloading top 8000 listings by sold quantity.
• This report ONLY includes listings sold within the selected time range. Any fees charged or credits applied to listings sold outside this time range are not included in this report. These fees and credits are included in the selling costs number shown on the Seller Hub Performance sales report dashboard.
• Any fees charged or credits applied to these listings outside this time range are not included in this report.
"• For the orders that have more than one unique item (multi-item orders), the order level fees/costs are distributed in individual items as follows. Total shipping label cost and per order fixed final value fees are equally distributed to each item."

"Report for Mar 3, 2026 to Apr 2, 2026"
Listing title,eBay item ID,Store category L1,Store category L2,Quantity sold,Total sales (Includes taxes),Item sales,Taxes and government fees paid by buyer to you,Taxes and government fees paid by buyer to eBay,Shipping and handling paid by buyer to you,Total selling costs,Insertion fees,Optional listing upgrade fees,Final value fees,Promoted Listings - General fees,Promoted Listings - Priority fees,Ads Express fees,Promoted Offsite - Fees,Other eBay fees,Deposit processing fees,Fee credits,Shipping labels cost (Amount you paid to buy shipping labels on eBay),Net sales (Net of taxes and selling costs),Average Selling price,Quantity sold via promoted listing,Quantity sold via Best Offers,Quantity sold via Seller Initiated Offers,
Working 1/2” & 3/8” Air Impact Lot + Taps Extractors 3M Wheel B&D,389690789659,-,-,1,$33.14,$20.49,$0.00,$2.42,$10.23,$18.12,$0.00,$0.00,$4.91,$2.98,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$10.23,$12.60,$33.14,1,0,0
Vintage Farrier Tools Lot Hoof Nippers Bellota Spain Rasp + Hoof Rasp,389753255283,-,-,1,$41.34,$29.99,$0.00,$2.52,$8.83,$19.85,$0.00,$0.00,$6.02,$5.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$8.83,$18.97,$41.34,1,0,0
Vintage Craftsman V Series 3/8” Flex Socket Set USA 8pc 3/8-13/16 w/ Case,389753320467,-,-,1,$66.62,$55.00,$0.00,$4.40,$7.22,$24.67,$0.00,$0.00,$9.46,$7.99,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$7.22,$37.55,$66.62,1,1,0
Vintage Coleman 425B Two Burner Camp Stove Wichita KS Brass Tank Untested,389758262263,-,-,1,$71.75,$59.99,$0.00,$4.35,$7.41,$17.57,$0.00,$0.00,$10.16,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$7.41,$49.83,$71.75,0,0,0
Vintage Craftsman USA Screwdriver Lot Mixed Flat Phillips Acetate Handle,389763451911,-,-,1,$46.82,$34.63,$0.00,$2.96,$9.23,$18.92,$0.00,$0.00,$7.00,$5.70,$0.00,$0.00,$0.00,$0.00,$0.00,$0.80,$7.02,$24.94,$46.82,1,0,0
Vintage Craftsman Screwdriver Lot USA Flathead Phillips Acetate Handle Set,389763471118,-,-,1,$64.57,$51.00,$0.00,$4.92,$8.65,$26.09,$0.00,$0.00,$9.18,$8.26,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$8.65,$33.56,$64.57,1,1,0
Radio Flyer 0890 Steel Wagon Body Red Replacement Tub Vintage,389767541094,-,-,1,$70.23,$40.00,$0.00,$5.65,$24.58,$42.75,$0.00,$0.00,$9.95,$8.22,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$24.58,$21.83,$70.23,1,0,0
Vintage Craftsman 391.5195 Woodworking Bench Vise Swivel Base USA Heavy,389776210229,-,-,1,$121.97,$89.99,$0.00,$9.30,$22.68,$55.76,$0.00,$0.00,$16.99,$15.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$23.77,$56.91,$121.97,1,0,0
Craftsman USA 1/4” Drive Socket Set 21 Pc G Series SAE Metric w/ Case,389779738544,-,-,1,$46.15,$36.99,$0.00,$2.87,$6.29,$18.51,$0.00,$0.00,$6.68,$5.54,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$6.29,$24.77,$46.15,1,0,0
Vintage Estwing 16oz Claw Hammer Leather Handle Rockford IL USA Tool,389780024064,-,-,1,$25.62,$16.00,$0.00,$2.05,$7.57,$14.35,$0.00,$0.00,$3.88,$2.90,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$7.57,$9.22,$25.62,1,1,0
Stanley Aladdin Lunch Box Cooler w/ Thermos 10-00311 Green Camping Set,389780133963,-,-,1,$69.95,$51.00,$0.00,$5.70,$13.25,$23.16,$0.00,$0.00,$9.91,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$13.25,$41.09,$69.95,0,1,0
Arizona License Plate GCA 9P4 Grand Canyon State 2026 Tag Vanity AZ Plate,389783496802,-,-,1,$20.96,$15.00,$0.00,$0.00,$5.96,$9.21,$0.00,$0.00,$3.25,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$5.96,$11.75,$20.96,0,1,0
Vintage Craftsman 66577 Pry Bar USA Green Patina Black Oxide Nail Puller,389783537611,-,-,1,$35.26,$24.00,$0.00,$2.00,$9.26,$18.59,$0.00,$0.00,$5.20,$4.13,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$9.26,$14.67,$35.26,1,1,0
Vintage Small Stone Metate w/ Mano Basalt Grinding Bowl Southwest Decor,389784287339,-,-,1,$71.42,$59.99,$0.00,$4.02,$7.41,$25.88,$0.00,$0.00,$10.11,$8.36,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$7.41,$41.52,$71.42,1,0,0
Starrett Combination Square 12” 4R Machinist Rule Athol USA Vintage,389784840514,-,-,1,$37.00,$25.00,$0.00,$2.74,$9.26,$18.95,$0.00,$0.00,$5.43,$4.26,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$9.26,$15.31,$37.00,1,1,0
Vintage Tool Lot Craftsman Ratchet Sockets Wrenches Toolbox USA 20lbs,389794681822,-,-,1,$79.85,$41.78,$0.00,$2.92,$35.15,$53.12,$0.00,$0.00,$11.26,$6.71,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$35.15,$23.81,$79.85,1,0,0
Craftsman 94 Pc Mechanics Tool Set SAE Metric 1/4 3/8 Drive COMPLETE Case,389812836611,-,-,1,$66.53,$50.00,$0.00,$0.00,$16.53,$25.98,$0.00,$0.00,$9.45,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$16.53,$40.55,$66.53,0,1,0
RadioShack PRO-89 200 Channel Handheld Scanner Race Police WX Tested Works,389817347239,-,-,1,$40.77,$31.50,$0.00,$2.76,$6.51,$16.93,$0.00,$0.00,$5.94,$4.48,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$6.51,$21.08,$40.77,1,0,0
